Nombre de nœuds,Balance moyenne
10,1.492000
20,2.126000
30,2.592000
40,2.695500
50,3.008400
60,3.219667
70,3.490286
80,3.833250
90,3.958000
100,4.095000
110,4.304909
120,4.699333
130,4.831846
140,5.011714
150,4.826800
160,5.420000
170,5.426235
180,5.798333
190,5.918421
200,6.005600
210,6.308762
220,6.558000
230,6.700348
240,6.821583
250,7.071440
260,7.183462
270,7.318000
280,7.505071
290,7.816759
300,7.996733
310,8.318323
320,8.360125
330,8.724000
340,8.445647
350,8.854914
360,9.287056
370,9.412757
380,9.620526
390,9.611128
400,9.773200
410,10.107707
420,10.311048
430,10.629535
440,10.860273
450,10.861156
460,11.041435
470,11.278979
480,11.459167
490,11.806245
500,11.910000
510,11.781098
520,12.180692
530,12.344604
540,12.589481
550,13.002400
560,12.938464
570,13.295825
580,13.499862
590,13.510271
600,13.747767
610,13.790787
620,14.235161
630,14.209937
640,14.704312
650,14.745015
660,14.696667
670,14.952269
680,15.375088
690,15.538899
700,15.437486
710,15.616563
720,16.087472
730,16.447288
740,16.469784
750,16.596000
760,16.949395
770,17.104935
780,17.050923
790,17.484000
800,17.758800
810,17.879926
820,18.075244
830,18.181518
840,18.305310
850,18.702212
860,18.654000
870,19.009678
880,18.976318
890,19.354607
900,19.579089
910,19.511429
920,19.795283
930,20.171570
940,20.485532
950,20.421874
960,20.934583
970,20.981320
980,21.380612
990,21.068162
1000,21.279660
1010,21.492178
1020,21.877059
1030,22.012194
1040,22.160173
1050,22.403010
1060,22.567528
1070,22.694131
1080,22.847259
1090,23.124294
1100,23.505382
1110,23.577946
1120,23.945179
1130,24.011080
1140,24.281123
1150,24.548052
1160,24.637207
1170,24.800667
1180,24.895661
1190,25.202403
1200,25.255950
1210,25.463818
1220,25.730066
1230,25.808862
1240,26.085226
1250,26.261520
1260,26.446079
1270,26.868488
1280,26.814313
1290,27.149271
1300,27.358677
1310,27.598809
1320,27.566636
1330,27.926707
1340,27.999388
1350,28.232593
1360,28.474338
1370,28.482584
1380,28.841536
1390,28.897957
1400,29.068186
1410,29.232170
1420,29.470070
1430,29.739455
1440,29.882847
1450,30.147503
1460,30.386726
1470,30.336776
1480,30.745284
1490,30.777919
1500,31.158827
1510,31.332358
1520,31.644053
1530,31.635373
1540,31.830558
1550,32.065471
1560,32.214026
1570,32.333045
1580,32.568684
1590,32.740327
1600,32.877150
1610,33.117776
1620,33.139580
1630,33.699227
1640,33.790707
1650,34.149709
1660,34.048723
1670,34.558204
1680,34.439798
1690,34.844308
1700,34.875835
1710,35.111860
1720,35.281163
1730,35.367168
1740,35.633966
1750,35.894869
1760,36.371193
1770,36.188621
1780,36.353427
1790,36.602447
1800,36.689844
1810,36.876762
