Nombre de nœuds,Hauteur moyenne
10,5.58
20,8.12
30,9.20
40,10.22
50,11.44
60,12.10
70,12.58
80,13.48
90,14.08
100,14.58
110,15.18
120,15.80
130,15.96
140,17.40
150,17.20
160,17.72
170,18.62
180,18.70
190,19.48
200,20.24
210,20.48
220,21.22
230,22.08
240,22.42
250,22.78
260,23.40
270,23.44
280,23.84
290,24.84
300,25.24
310,26.64
320,26.16
330,26.12
340,27.02
350,27.22
360,27.56
370,28.50
380,28.78
390,29.52
400,29.94
410,30.38
420,30.60
430,30.82
440,31.88
450,32.40
460,32.98
470,32.62
480,34.12
490,34.76
500,34.50
510,35.48
520,35.06
530,35.70
540,36.40
550,37.18
560,37.26
570,37.76
580,38.54
590,39.12
600,39.84
610,39.86
620,41.00
630,41.32
640,40.94
650,41.22
660,42.78
670,42.26
680,43.44
690,43.06
700,43.62
710,44.94
720,45.08
730,46.34
740,45.00
750,46.26
760,47.38
770,47.40
780,47.90
790,47.80
800,47.60
810,48.90
820,49.40
830,50.60
840,50.32
850,51.12
860,51.24
870,51.36
880,51.98
890,52.76
900,53.46
910,53.60
920,53.60
930,54.66
940,54.84
950,55.12
960,55.40
970,56.16
980,57.14
990,57.16
1000,57.58
1010,57.82
1020,58.64
1030,58.64
1040,59.16
1050,59.42
1060,60.16
1070,60.66
1080,60.98
1090,61.88
1100,61.90
1110,61.86
1120,62.08
1130,63.78
1140,63.60
1150,63.52
1160,64.26
1170,65.68
1180,65.32
1190,65.82
1200,66.88
1210,66.50
1220,67.14
1230,67.30
1240,68.34
1250,68.76
1260,68.28
1270,69.10
1280,69.06
1290,70.36
1300,71.18
1310,70.96
1320,71.14
1330,71.82
1340,72.18
1350,72.86
1360,73.48
1370,74.20
1380,74.00
1390,74.34
1400,75.82
1410,75.68
1420,75.48
1430,76.46
1440,77.14
1450,77.14
1460,77.58
1470,78.00
1480,79.00
1490,79.02
1500,78.86
1510,79.36
1520,80.76
1530,80.32
1540,81.14
1550,81.20
1560,81.64
1570,82.20
1580,82.34
1590,83.74
1600,84.08
1610,83.96
1620,83.54
1630,85.30
1640,85.48
1650,85.96
1660,86.00
1670,86.10
1680,86.42
1690,87.90
1700,87.16
1710,88.68
1720,88.22
1730,88.72
1740,89.90
1750,89.84
1760,89.86
1770,90.42
1780,90.68
1790,91.82
1800,92.74
1810,93.44
1820,93.58
1830,94.08
1840,93.36
1850,95.36
1860,95.12
1870,94.98
1880,95.82
1890,95.48
1900,96.42
1910,96.92
1920,97.20
1930,98.20
1940,98.62
1950,98.94
1960,99.90
1970,100.38
1980,99.16
1990,100.80
2000,101.18
2010,100.64
2020,102.18
2030,102.20
2040,102.78
2050,104.56
2060,102.50
2070,103.98
2080,104.44
2090,104.28
2100,103.90
2110,106.04
2120,107.14
2130,106.36
2140,106.08
2150,108.40
2160,107.70
2170,107.52
2180,108.08
2190,109.58
2200,109.68
2210,109.18
2220,110.78
2230,111.36
2240,112.02
2250,111.84
2260,112.28
2270,111.60
2280,113.00
2290,113.86
2300,113.22
2310,115.76
2320,113.36
2330,115.36
2340,115.98
2350,116.04
2360,117.98
2370,114.88
2380,117.20
2390,117.60
2400,118.28
2410,119.40
2420,119.32
2430,119.64
2440,118.70
2450,118.98
2460,120.84
2470,121.18
2480,121.70
2490,121.62
2500,122.00
2510,122.32
2520,121.84
2530,122.68
2540,123.54
2550,123.28
2560,123.74
2570,125.74
2580,123.98
2590,125.86
2600,126.20
2610,125.16
2620,127.54
2630,128.76
2640,128.36
2650,127.30
2660,128.64
2670,129.10
2680,129.90
2690,129.90
2700,129.96
2710,129.86
2720,131.12
2730,132.50
2740,132.02
2750,132.78
2760,133.02
2770,133.80
2780,134.54
2790,133.30
