Nombre de nœuds,Hauteur moyenne
10,5.54
20,7.98
30,8.86
40,10.00
50,10.48
60,11.50
70,11.98
80,12.32
90,13.00
100,13.42
110,13.86
120,14.20
130,14.08
140,14.48
150,15.14
160,15.00
170,15.02
180,15.24
190,15.34
200,15.46
210,16.10
220,16.02
230,16.76
240,16.68
250,16.74
260,16.24
270,17.16
280,17.26
290,17.56
300,17.48
310,17.36
320,17.24
330,17.74
340,17.72
350,17.96
360,17.90
370,18.04
380,18.36
390,18.14
400,18.84
410,18.72
420,18.36
430,18.88
440,18.96
450,19.10
460,18.66
470,19.00
480,19.66
490,19.08
500,19.40
510,19.36
520,19.32
530,19.64
540,20.20
550,19.86
560,19.82
570,19.98
580,19.98
590,20.08
600,20.26
610,20.64
620,20.56
630,20.56
640,20.06
650,20.12
660,20.00
670,20.20
680,20.08
690,20.44
700,20.90
710,20.70
720,20.72
730,20.88
740,21.02
750,21.22
760,20.76
770,20.88
780,21.42
790,21.40
800,21.16
810,21.52
820,21.42
830,21.14
840,21.62
850,21.42
860,21.36
870,21.28
880,21.38
890,21.56
900,21.28
910,21.70
920,21.44
930,21.64
940,21.82
950,22.24
960,22.00
970,21.66
980,21.76
990,21.66
1000,22.22
1010,22.26
1020,22.06
1030,22.56
1040,22.32
1050,22.00
1060,21.76
1070,21.98
1080,22.06
1090,22.52
1100,22.34
1110,22.10
1120,22.70
1130,22.52
1140,22.40
1150,22.30
1160,23.16
1170,22.62
1180,22.94
1190,22.76
1200,22.60
1210,22.94
1220,22.96
1230,23.28
1240,22.76
1250,22.40
1260,22.70
1270,22.84
1280,23.04
1290,23.24
1300,23.66
1310,23.22
1320,23.58
1330,22.62
1340,22.92
1350,23.48
1360,23.06
1370,23.36
1380,23.48
1390,23.44
1400,23.40
1410,23.62
1420,23.24
1430,23.52
1440,23.84
1450,23.62
1460,23.46
1470,23.80
1480,23.68
1490,24.34
1500,23.46
1510,24.34
1520,23.26
1530,23.80
1540,23.92
1550,24.48
1560,23.58
1570,23.62
1580,23.60
1590,23.84
1600,24.40
1610,24.16
1620,23.90
1630,23.74
1640,23.82
1650,24.18
1660,24.36
1670,24.14
1680,24.10
1690,24.44
1700,24.50
1710,24.46
1720,24.12
1730,24.56
1740,24.10
1750,24.48
1760,24.76
1770,24.28
1780,24.92
1790,24.34
1800,23.92
1810,24.56
1820,24.04
1830,24.56
1840,25.00
1850,24.10
1860,24.68
1870,24.82
1880,24.88
1890,24.54
1900,25.18
1910,24.28
1920,24.30
1930,24.78
1940,24.86
1950,24.56
1960,24.82
1970,24.80
1980,24.58
1990,25.22
2000,24.70
2010,25.04
2020,24.92
2030,24.68
2040,25.04
2050,25.04
2060,24.98
2070,25.00
2080,24.66
2090,24.68
2100,25.40
2110,24.72
2120,25.44
2130,25.56
2140,25.10
2150,25.54
2160,24.90
2170,25.10
2180,24.74
2190,25.42
2200,25.64
2210,24.92
2220,24.82
2230,25.16
2240,25.44
2250,25.16
2260,25.42
2270,25.88
2280,25.38
2290,25.18
2300,25.76
2310,25.04
2320,25.32
2330,25.46
2340,25.66
2350,24.86
2360,26.02
2370,25.54
2380,25.80
2390,26.12
2400,25.80
2410,25.24
2420,25.92
2430,25.88
2440,25.58
2450,25.36
2460,26.28
2470,26.02
2480,25.76
2490,25.48
2500,25.88
2510,25.96
2520,26.00
2530,26.28
2540,25.66
2550,25.76
2560,25.64
2570,26.28
2580,25.44
2590,25.74
2600,26.00
2610,25.98
2620,25.74
2630,26.20
2640,25.92
2650,26.50
2660,25.72
2670,25.78
2680,25.90
2690,26.92
2700,25.78
2710,25.70
2720,26.34
2730,26.32
2740,26.16
2750,26.76
2760,26.98
2770,25.86
2780,26.60
2790,26.16
2800,26.44
2810,26.50
2820,27.10
2830,26.04
2840,26.14
2850,26.38
2860,26.30
2870,26.24
2880,26.04
2890,27.36
2900,26.46
2910,26.38
2920,26.42
2930,26.44
2940,26.34
2950,26.34
2960,26.32
2970,26.48
2980,26.52
2990,26.42
3000,26.72
3010,26.76
3020,26.50
3030,26.68
3040,27.24
3050,26.26
3060,26.60
3070,26.14
3080,26.12
3090,26.86
3100,26.78
3110,26.80
3120,26.80
3130,27.08
3140,26.72
3150,26.54
3160,26.46
3170,26.84
3180,26.38
3190,26.54
3200,26.86
3210,26.22
3220,27.00
3230,27.42
3240,26.74
3250,26.80
3260,26.84
3270,26.92
3280,27.38
3290,27.18
3300,26.72
3310,27.36
3320,27.00
3330,27.16
3340,26.96
3350,27.10
3360,27.34
3370,27.26
3380,27.26
3390,26.54
3400,26.96
3410,27.24
3420,27.30
3430,27.04
3440,26.96
3450,27.40
3460,26.98
3470,27.60
3480,27.14
3490,26.88
3500,27.60
3510,27.34
3520,27.38
3530,27.22
3540,27.02
3550,27.34
3560,27.26
3570,27.36
3580,27.10
3590,27.38
3600,27.38
3610,27.34
3620,27.42
3630,27.04
3640,27.80
3650,27.10
3660,26.62
3670,27.12
3680,27.66
3690,27.66
3700,28.04
3710,27.58
3720,27.56
3730,27.14
3740,27.42
3750,27.20
3760,27.34
3770,27.72
3780,27.48
3790,27.48
3800,27.32
3810,27.34
3820,27.72
3830,27.52
3840,27.46
3850,27.32
3860,27.90
3870,27.20
3880,27.66
3890,27.24
3900,27.40
3910,27.46
3920,28.36
3930,27.88
3940,27.84
3950,27.64
3960,27.66
3970,27.86
3980,27.48
3990,27.34
4000,27.86
4010,27.82
4020,27.70
4030,27.94
4040,27.30
4050,27.78
4060,27.84
4070,28.56
4080,27.66
4090,28.52
4100,27.88
4110,28.16
4120,27.68
4130,27.88
4140,28.22
4150,27.68
4160,27.72
4170,28.02
4180,28.50
4190,28.04
4200,27.64
4210,28.16
4220,27.78
4230,28.22
4240,27.88
4250,28.34
4260,28.06
4270,28.00
4280,27.48
4290,27.88
4300,28.32
4310,28.00
4320,27.88
4330,28.22
4340,27.90
4350,28.70
4360,28.22
4370,28.28
4380,28.16
4390,28.74
4400,27.52
4410,27.68
4420,27.88
4430,27.84
4440,28.26
4450,27.94
4460,28.10
4470,28.46
4480,28.06
4490,28.56
4500,28.14
4510,27.98
4520,28.50
4530,28.52
4540,28.38
4550,28.74
4560,29.10
4570,28.32
4580,27.88
4590,28.28
4600,28.74
4610,28.06
4620,29.36
4630,29.14
4640,28.88
4650,28.62
4660,28.80
4670,28.38
4680,28.82
4690,28.22
4700,28.66
4710,28.06
4720,28.56
4730,29.10
4740,28.58
4750,28.76
4760,28.20
4770,27.96
4780,28.28
4790,28.54
4800,28.50
4810,28.70
4820,28.06
4830,28.78
4840,28.58
4850,28.82
4860,28.96
4870,28.54
4880,28.78
4890,28.84
4900,29.40
4910,28.80
4920,29.10
4930,28.84
4940,29.02
4950,28.80
4960,28.60
4970,28.82
4980,29.20
4990,29.10
5000,28.56
5010,28.56
5020,29.04
5030,28.74
5040,28.76
5050,28.44
5060,29.02
5070,28.68
5080,28.88
5090,29.06
5100,28.88
5110,28.48
5120,28.94
5130,29.22
5140,29.28
5150,28.76
5160,28.94
5170,28.72
5180,28.84
5190,28.72
5200,28.58
5210,29.08
5220,28.80
5230,28.86
5240,29.24
5250,29.02
5260,28.92
5270,28.94
5280,29.10
5290,28.86
5300,29.26
5310,29.40
5320,28.80
5330,28.94
5340,28.94
5350,29.12
5360,28.98
5370,28.54
5380,29.40
5390,28.88
5400,29.22
5410,29.04
5420,29.06
5430,28.96
5440,29.10
5450,29.32
5460,29.52
5470,29.06
5480,29.82
5490,29.04
5500,29.24
5510,28.88
5520,29.54
5530,29.50
5540,28.88
5550,29.22
5560,29.28
5570,29.60
5580,29.08
5590,29.12
5600,28.92
5610,29.20
5620,29.50
5630,29.82
5640,29.42
5650,29.44
5660,29.42
5670,29.24
5680,29.66
5690,29.14
5700,29.38
5710,28.98
5720,29.48
5730,29.12
5740,29.46
5750,29.54
5760,29.24
5770,29.64
5780,30.10
5790,29.72
5800,28.96
5810,29.22
5820,29.72
5830,29.64
5840,29.18
5850,29.70
5860,28.98
5870,30.16
5880,29.44
5890,29.24
5900,29.08
5910,29.60
5920,29.82
5930,30.28
5940,29.54
5950,29.44
5960,30.12
5970,29.66
5980,29.46
5990,29.28
6000,30.02
6010,30.04
6020,29.54
6030,29.78
6040,30.02
6050,29.96
6060,29.56
6070,30.10
6080,30.12
6090,29.94
6100,29.42
6110,29.48
6120,30.00
6130,29.82
6140,29.66
6150,29.50
6160,30.10
6170,30.18
6180,28.80
6190,30.00
6200,29.96
6210,30.34
6220,29.76
6230,30.72
6240,30.16
6250,29.54
6260,29.86
6270,29.76
6280,30.22
6290,30.38
6300,30.36
6310,29.34
6320,30.24
6330,30.00
6340,30.02
6350,30.38
6360,29.88
6370,30.08
6380,29.52
6390,30.00
6400,29.52
6410,30.58
6420,30.46
6430,30.10
6440,29.90
6450,29.80
6460,30.18
6470,30.30
6480,29.86
6490,30.10
6500,29.74
6510,29.26
6520,29.88
6530,30.14
6540,29.86
6550,30.02
6560,30.18
6570,30.34
6580,30.10
6590,30.40
6600,29.76
6610,30.54
6620,29.94
6630,29.96
6640,30.34
6650,30.22
6660,30.14
6670,30.56
6680,30.08
6690,30.32
6700,30.04
6710,29.94
6720,30.78
6730,30.16
6740,30.84
6750,30.64
6760,30.58
6770,30.92
6780,30.46
6790,30.48
6800,30.10
6810,29.54
6820,30.76
6830,30.34
6840,29.82
6850,30.18
6860,30.08
6870,30.08
6880,30.10
6890,29.98
6900,30.56
6910,30.30
6920,30.66
6930,29.94
6940,30.00
6950,30.58
6960,30.24
6970,30.20
6980,30.52
6990,30.60
7000,29.98
7010,29.58
7020,30.78
7030,30.80
7040,30.84
7050,30.52
7060,30.54
7070,30.32
7080,30.34
7090,30.68
7100,30.58
7110,30.32
7120,30.64
7130,30.58
7140,30.36
7150,30.28
7160,30.62
7170,30.64
7180,30.64
7190,30.86
7200,30.86
7210,30.82
7220,30.66
7230,30.96
7240,30.52
7250,30.70
7260,30.78
7270,31.02
7280,30.54
7290,31.34
7300,30.22
7310,30.24
7320,30.82
7330,31.42
7340,31.14
7350,30.86
7360,30.80
7370,31.14
7380,31.08
7390,30.62
7400,30.30
7410,31.22
7420,31.30
7430,30.98
7440,31.36
7450,30.92
7460,30.98
7470,31.00
7480,30.48
7490,30.80
7500,30.70
7510,31.00
7520,30.90
7530,30.52
7540,30.76
7550,30.72
7560,30.60
7570,30.96
7580,30.66
7590,31.08
7600,31.10
7610,31.48
7620,30.84
7630,30.84
7640,30.90
7650,30.70
7660,30.78
7670,31.24
7680,30.82
7690,30.92
7700,31.10
7710,31.02
7720,31.08
7730,31.02
7740,30.46
7750,30.82
7760,30.80
7770,31.22
7780,31.10
7790,31.10
7800,30.96
7810,30.52
7820,30.92
7830,31.32
7840,31.14
7850,30.98
7860,31.44
7870,30.88
7880,31.16
7890,31.10
7900,30.90
7910,31.44
7920,31.26
7930,31.52
7940,31.04
7950,31.32
7960,31.20
7970,31.16
7980,31.50
7990,31.08
8000,30.86
8010,31.48
8020,31.54
8030,30.86
8040,31.90
8050,31.56
8060,31.10
8070,30.66
8080,31.28
8090,31.24
8100,31.14
8110,30.94
8120,31.54
8130,31.60
8140,31.44
8150,31.52
8160,30.80
8170,31.64
8180,31.20
8190,31.72
8200,31.44
8210,31.16
8220,31.00
8230,31.66
8240,31.70
8250,31.92
8260,31.66
8270,31.44
8280,30.94
8290,30.80
8300,31.08
8310,31.28
8320,31.56
8330,31.54
8340,30.68
8350,32.00
8360,31.40
8370,31.12
8380,31.16
8390,31.50
8400,32.30
8410,31.48
8420,31.68
8430,31.96
8440,31.40
8450,31.32
8460,30.76
8470,31.78
8480,31.20
8490,31.40
8500,31.74
8510,31.34
8520,31.20
8530,31.48
8540,31.68
8550,32.00
8560,31.78
8570,31.10
8580,30.98
8590,32.00
8600,31.52
8610,31.90
8620,31.34
8630,31.16
8640,31.68
8650,32.26
8660,32.42
