Nombre de nœuds,Hauteur
10,6
11,6
12,5
13,7
14,8
15,6
16,6
17,7
18,7
19,7
20,7
21,7
22,7
23,8
24,7
25,8
26,7
27,9
28,10
29,7
30,9
31,10
32,10
33,9
34,9
35,9
36,10
37,10
38,11
39,10
40,9
41,11
42,10
43,9
44,9
45,12
46,10
47,11
48,10
49,11
50,12
51,11
52,11
53,8
54,10
55,10
56,11
57,12
58,13
59,11
60,10
61,10
62,10
63,11
64,13
65,12
66,9
67,11
68,12
69,10
70,14
71,14
72,13
73,10
74,13
75,13
76,14
77,12
78,11
79,12
80,14
81,12
82,14
83,10
84,14
85,13
86,14
87,14
88,16
89,13
90,13
91,15
92,12
93,13
94,13
95,14
96,15
97,15
98,13
99,11
100,14
101,13
102,12
103,14
104,11
105,14
106,13
107,13
108,13
109,13
110,12
111,13
112,15
113,18
114,12
115,14
116,11
117,14
118,15
119,15
120,13
121,14
122,13
123,18
124,15
125,13
126,12
127,12
128,13
129,12
130,14
131,15
132,13
133,16
134,14
135,16
136,16
137,13
138,15
139,13
140,16
141,12
142,12
143,15
144,12
145,12
146,14
147,15
148,15
149,14
150,16
151,14
152,14
153,16
154,15
155,14
156,13
157,12
158,16
159,17
160,16
161,15
162,16
163,17
164,16
165,15
166,15
167,16
168,15
169,16
170,16
171,16
172,15
173,19
174,16
175,20
176,14
177,15
178,18
179,13
180,14
181,18
182,14
183,15
184,21
185,19
186,15
187,14
188,14
189,14
190,14
191,15
192,15
193,13
194,18
195,15
196,18
197,15
198,14
199,16
200,19
201,15
202,14
203,18
204,15
205,15
206,16
207,15
208,14
209,14
210,16
211,17
212,21
213,18
214,19
215,15
216,14
217,15
218,17
219,15
220,19
221,15
222,18
223,15
224,15
225,14
226,16
227,14
228,17
229,19
230,16
231,16
232,17
233,18
234,17
235,15
236,16
237,17
238,18
239,15
240,20
241,16
242,16
243,17
244,20
245,17
246,13
247,20
248,17
249,18
250,15
251,16
252,14
253,18
254,17
255,18
256,17
257,18
258,14
259,18
260,17
261,18
262,20
263,18
264,18
265,20
266,18
267,19
268,21
269,18
270,20
271,15
272,17
273,15
274,19
275,19
276,17
277,21
278,18
279,18
280,16
281,18
282,19
283,16
284,19
285,19
286,16
287,15
288,19
289,16
290,18
291,17
292,16
293,16
294,17
295,17
296,21
297,16
298,19
299,17
300,16
301,17
302,19
303,17
304,15
305,17
306,20
307,17
308,18
309,18
310,16
311,19
312,16
313,18
314,15
315,18
316,19
317,20
318,17
319,16
320,19
321,19
322,20
323,23
324,15
325,17
326,15
327,17
328,15
329,19
330,16
331,15
332,18
333,18
334,17
335,15
336,18
337,17
338,16
339,15
340,16
341,19
342,17
343,15
344,16
345,17
346,18
347,17
348,16
349,19
350,18
351,15
352,16
353,17
354,18
355,17
356,17
357,19
358,18
359,16
360,17
361,17
362,18
