Nombre de nœuds,Hauteur
10,5
11,6
12,7
13,7
14,8
15,7
16,6
17,7
18,7
19,7
20,8
21,10
22,8
23,8
24,9
25,8
26,7
27,8
28,11
29,11
30,10
31,8
32,9
33,9
34,9
35,9
36,10
37,8
38,10
39,9
40,9
41,10
42,12
43,11
44,11
45,9
46,10
47,11
48,12
49,9
50,12
51,12
52,10
53,12
54,12
55,12
56,12
57,12
58,11
59,10
60,10
61,11
62,9
63,11
64,13
65,13
66,13
67,10
68,15
69,13
70,13
71,14
72,13
73,13
74,13
75,15
76,12
77,14
78,15
79,15
80,12
81,13
82,13
83,13
84,13
85,12
86,12
87,13
88,13
89,13
90,12
91,15
92,16
93,14
94,14
95,13
96,11
97,16
98,13
99,15
100,14
101,15
102,14
103,18
104,12
105,16
106,14
107,16
108,17
109,16
110,14
111,15
112,14
113,18
114,15
115,16
116,16
117,13
118,15
119,17
120,16
121,19
122,14
123,18
124,15
125,14
126,15
127,15
128,23
129,14
130,16
131,17
132,13
133,15
134,16
135,16
136,17
137,19
138,20
139,16
140,21
141,16
142,17
143,16
144,17
145,19
146,18
147,17
148,14
149,18
150,17
151,16
152,18
153,18
154,17
155,16
156,16
157,19
158,16
159,20
160,18
161,20
162,19
163,16
164,17
165,17
166,20
167,17
168,19
169,17
170,18
171,19
172,21
173,17
174,23
175,19
176,17
177,19
178,16
179,18
180,19
181,16
182,18
183,17
184,18
185,19
186,16
187,18
188,20
189,19
190,17
191,20
192,18
193,23
194,18
195,22
196,19
197,19
198,19
199,20
200,22
201,25
202,20
203,19
204,22
205,18
206,17
207,19
208,20
209,18
210,17
211,19
212,21
213,23
214,19
215,18
216,21
217,22
218,20
219,21
220,22
221,21
222,23
223,26
224,21
225,22
226,20
227,19
228,21
229,25
230,23
231,20
232,23
233,20
234,21
235,20
236,22
237,24
238,22
239,24
240,18
241,20
242,20
243,20
244,22
245,24
246,22
247,23
248,20
249,26
250,24
251,23
252,20
253,23
254,22
255,23
256,19
