Nombre de nœuds,Temps moyen d'insertion (secondes)
10,0.000003
20,0.000005
30,0.000007
40,0.000008
50,0.000013
60,0.000016
70,0.000018
80,0.000016
90,0.000020
100,0.000026
110,0.000022
120,0.000025
130,0.000024
140,0.000026
150,0.000036
160,0.000035
170,0.000038
180,0.000036
190,0.000038
200,0.000112
210,0.000061
220,0.000052
230,0.000057
240,0.000065
250,0.000054
260,0.000062
270,0.000059
280,0.000056
290,0.000059
300,0.000064
310,0.000076
320,0.000100
330,0.000080
340,0.000093
350,0.000092
360,0.000077
370,0.000084
380,0.000086
390,0.000094
400,0.000101
410,0.000271
420,0.000123
430,0.000100
440,0.000113
450,0.000106
460,0.000113
470,0.000143
480,0.000139
490,0.000133
500,0.000141
510,0.000141
520,0.000130
530,0.000169
540,0.000207
550,0.000232
560,0.000160
570,0.000155
580,0.000207
590,0.000155
600,0.000173
610,0.000179
620,0.000195
630,0.000189
640,0.000179
650,0.000195
660,0.000297
670,0.000195
680,0.000189
690,0.000191
700,0.000212
710,0.000224
720,0.000235
730,0.000211
740,0.000241
750,0.000337
760,0.000241
770,0.000227
780,0.000332
790,0.000357
800,0.000430
810,0.000377
820,0.000277
830,0.000349
840,0.000314
850,0.000295
860,0.000282
870,0.000319
880,0.000313
890,0.000302
900,0.000370
910,0.000366
920,0.000293
930,0.000348
940,0.000303
950,0.000392
960,0.000315
970,0.000322
980,0.000453
990,0.000360
1000,0.000364
1010,0.000409
1020,0.000404
1030,0.000361
1040,0.000433
1050,0.000433
1060,0.000404
1070,0.000411
1080,0.000438
1090,0.000403
1100,0.000494
1110,0.000482
1120,0.000434
1130,0.000464
1140,0.000588
1150,0.000459
1160,0.000517
1170,0.000620
1180,0.000538
1190,0.000463
1200,0.000471
1210,0.000469
1220,0.000564
1230,0.000577
1240,0.000482
1250,0.000559
1260,0.000491
1270,0.000622
1280,0.000499
1290,0.000558
1300,0.000586
1310,0.000629
1320,0.000585
1330,0.000670
1340,0.000723
1350,0.000623
1360,0.000565
1370,0.000647
1380,0.000644
1390,0.000567
1400,0.000632
1410,0.000595
1420,0.000704
1430,0.000582
1440,0.000683
1450,0.000676
1460,0.000717
1470,0.000679
1480,0.000677
1490,0.000644
1500,0.000717
1510,0.000749
1520,0.000674
1530,0.000804
1540,0.000768
1550,0.000775
1560,0.000739
1570,0.000753
1580,0.000876
1590,0.000807
1600,0.000835
1610,0.000803
1620,0.000893
1630,0.000908
1640,0.000767
1650,0.000877
1660,0.000974
1670,0.000958
1680,0.000819
1690,0.001002
1700,0.000828
1710,0.000924
1720,0.000852
1730,0.000843
1740,0.000925
1750,0.000960
1760,0.000871
1770,0.000960
1780,0.001019
1790,0.000952
1800,0.000904
1810,0.000954
1820,0.001019
1830,0.000936
1840,0.000942
1850,0.001050
1860,0.001048
1870,0.001060
1880,0.000977
1890,0.001155
1900,0.000987
1910,0.000983
1920,0.001172
1930,0.001121
1940,0.001036
1950,0.001088
1960,0.001206
1970,0.001049
1980,0.001107
1990,0.001185
2000,0.001107
2010,0.001130
2020,0.001145
2030,0.001232
2040,0.001121
2050,0.001154
2060,0.001263
2070,0.001176
2080,0.001178
2090,0.001241
2100,0.001200
2110,0.001359
2120,0.001305
2130,0.001218
2140,0.001191
2150,0.001353
2160,0.001239
2170,0.001269
2180,0.001431
2190,0.001297
2200,0.001293
2210,0.001393
2220,0.001329
