Nombre de nœuds,Temps moyen d'insertion (secondes)
10,0.000003
20,0.000007
30,0.000011
40,0.000014
50,0.000015
60,0.000015
70,0.000019
80,0.000020
90,0.000024
100,0.000029
110,0.000029
120,0.000033
130,0.000034
140,0.000038
150,0.000041
160,0.000046
170,0.000048
180,0.000049
190,0.000053
200,0.000062
210,0.000078
220,0.000068
230,0.000067
240,0.000070
250,0.000071
260,0.000099
270,0.000080
280,0.000085
290,0.000091
300,0.000096
310,0.000108
320,0.000127
330,0.000104
340,0.000109
350,0.000152
360,0.000137
370,0.000112
380,0.000112
390,0.000115
400,0.000120
410,0.000130
420,0.000137
430,0.000133
440,0.000152
450,0.000127
460,0.000153
470,0.000143
480,0.000153
490,0.000139
500,0.000147
510,0.000151
520,0.000180
530,0.000149
540,0.000157
550,0.000157
560,0.000180
570,0.000244
580,0.000172
590,0.000171
600,0.000184
610,0.000205
620,0.000219
630,0.000229
640,0.000201
650,0.000209
660,0.000211
670,0.000206
680,0.000218
690,0.000203
700,0.000204
710,0.000223
720,0.000230
730,0.000232
740,0.000321
750,0.000232
760,0.000232
770,0.000233
780,0.000255
790,0.000237
800,0.000250
810,0.000249
820,0.000259
830,0.000254
840,0.000254
850,0.000353
860,0.000277
870,0.000272
880,0.000268
890,0.000280
900,0.000302
910,0.000276
920,0.000290
930,0.000295
940,0.000288
950,0.000323
960,0.000289
970,0.000313
980,0.000362
990,0.000314
1000,0.000324
1010,0.000345
1020,0.000312
1030,0.000339
1040,0.000339
1050,0.000320
1060,0.000328
1070,0.000362
1080,0.000345
1090,0.000432
1100,0.000350
1110,0.000345
1120,0.000361
1130,0.000351
1140,0.000391
1150,0.000380
1160,0.000383
1170,0.000363
1180,0.000383
1190,0.000419
1200,0.000419
1210,0.000387
1220,0.000391
1230,0.000398
1240,0.000432
1250,0.000424
1260,0.000400
1270,0.000397
1280,0.000420
1290,0.000474
1300,0.000440
1310,0.000435
1320,0.000436
1330,0.000447
1340,0.000465
1350,0.000552
1360,0.000455
1370,0.000472
1380,0.000442
1390,0.000525
1400,0.000448
1410,0.000463
1420,0.000541
1430,0.000529
1440,0.000585
1450,0.000524
1460,0.000458
1470,0.000581
1480,0.000467
1490,0.000498
1500,0.000550
1510,0.000602
1520,0.000545
1530,0.000537
1540,0.000491
1550,0.000521
1560,0.000514
1570,0.000619
1580,0.000510
1590,0.000545
1600,0.000563
1610,0.000630
1620,0.000631
1630,0.000577
1640,0.000639
1650,0.000774
1660,0.000583
1670,0.000599
1680,0.000579
1690,0.000572
1700,0.000663
1710,0.000558
1720,0.000590
1730,0.000573
1740,0.000642
1750,0.000655
1760,0.000606
1770,0.000646
1780,0.000648
1790,0.000627
1800,0.000649
1810,0.000582
1820,0.000667
1830,0.000598
1840,0.000714
1850,0.000644
1860,0.000643
1870,0.000605
1880,0.000680
1890,0.000699
1900,0.000634
1910,0.000646
1920,0.000646
1930,0.000655
1940,0.000626
1950,0.000688
1960,0.000682
1970,0.000663
1980,0.000711
1990,0.000650
2000,0.000674
2010,0.000758
2020,0.000682
2030,0.000754
2040,0.000776
2050,0.000686
2060,0.000721
2070,0.000697
2080,0.000814
2090,0.000717
2100,0.000797
2110,0.000806
2120,0.000778
2130,0.000719
2140,0.000756
2150,0.000785
2160,0.000816
2170,0.000747
2180,0.000742
2190,0.000853
2200,0.000734
2210,0.000755
2220,0.000755
2230,0.000801
2240,0.000768
2250,0.000887
2260,0.000795
2270,0.000986
2280,0.000886
2290,0.000795
2300,0.000785
2310,0.000904
2320,0.000799
2330,0.000920
2340,0.000854
2350,0.000811
2360,0.000827
2370,0.000806
2380,0.000882
2390,0.000847
2400,0.000896
2410,0.000848
2420,0.000855
2430,0.000993
2440,0.000826
2450,0.000850
2460,0.000917
2470,0.000837
2480,0.000945
2490,0.000959
2500,0.000883
2510,0.000879
2520,0.000932
2530,0.001038
2540,0.000869
2550,0.000876
2560,0.000953
2570,0.000883
2580,0.000909
2590,0.000967
2600,0.000956
2610,0.000915
2620,0.000997
2630,0.000969
2640,0.001029
2650,0.001012
2660,0.000961
2670,0.000927
2680,0.001011
2690,0.001110
2700,0.000922
2710,0.000962
2720,0.000998
2730,0.000975
2740,0.000962
2750,0.000970
2760,0.001078
2770,0.000961
2780,0.001087
2790,0.001074
2800,0.001151
2810,0.001043
2820,0.001013
2830,0.001039
2840,0.000987
2850,0.001046
2860,0.001048
2870,0.001141
2880,0.000992
2890,0.001082
2900,0.001083
2910,0.001284
2920,0.001189
2930,0.001071
2940,0.001045
2950,0.001061
2960,0.001090
2970,0.001114
2980,0.001028
2990,0.001086
3000,0.001052
3010,0.001075
3020,0.001053
3030,0.001124
3040,0.001122
3050,0.001092
3060,0.001104
