Nombre de nœuds,Temps moyen (secondes)
10,0.000002
20,0.000002
30,0.000002
40,0.000005
50,0.000003
60,0.000005
70,0.000003
80,0.000005
90,0.000004
100,0.000003
110,0.000003
120,0.000003
130,0.000003
140,0.000003
150,0.000004
160,0.000003
170,0.000003
180,0.000004
190,0.000004
200,0.000003
210,0.000004
220,0.000004
230,0.000004
240,0.000003
250,0.000004
260,0.000004
270,0.000003
280,0.000004
290,0.000003
300,0.000003
310,0.000004
320,0.000004
330,0.000005
340,0.000004
350,0.000003
360,0.000004
370,0.000004
380,0.000005
390,0.000003
400,0.000003
410,0.000004
420,0.000004
430,0.000003
440,0.000003
450,0.000003
460,0.000003
470,0.000004
480,0.000003
490,0.000003
500,0.000003
510,0.000003
520,0.000003
530,0.000003
540,0.000003
550,0.000003
560,0.000003
570,0.000003
580,0.000003
590,0.000003
600,0.000003
610,0.000003
620,0.000003
630,0.000003
640,0.000003
650,0.000003
660,0.000003
670,0.000003
680,0.000003
690,0.000003
700,0.000003
710,0.000003
720,0.000003
730,0.000005
740,0.000003
750,0.000002
760,0.000005
770,0.000004
780,0.000003
790,0.000004
800,0.000004
810,0.000003
820,0.000004
830,0.000003
840,0.000004
850,0.000003
860,0.000004
870,0.000003
880,0.000004
890,0.000004
900,0.000006
910,0.000003
920,0.000005
930,0.000004
940,0.000005
950,0.000006
960,0.000004
970,0.000003
980,0.000006
990,0.000007
1000,0.000004
1010,0.000005
1020,0.000003
1030,0.000003
1040,0.000003
1050,0.000002
1060,0.000003
1070,0.000003
1080,0.000003
1090,0.000003
1100,0.000002
1110,0.000003
1120,0.000005
1130,0.000004
1140,0.000003
1150,0.000004
1160,0.000005
1170,0.000003
1180,0.000004
1190,0.000004
1200,0.000005
1210,0.000003
1220,0.000003
1230,0.000003
1240,0.000002
1250,0.000003
1260,0.000003
1270,0.000003
1280,0.000003
1290,0.000003
1300,0.000003
1310,0.000002
1320,0.000003
1330,0.000003
1340,0.000003
1350,0.000003
1360,0.000003
1370,0.000004
1380,0.000003
1390,0.000004
1400,0.000004
1410,0.000003
1420,0.000003
1430,0.000003
1440,0.000004
1450,0.000004
1460,0.000004
1470,0.000004
1480,0.000004
1490,0.000005
1500,0.000003
1510,0.000002
1520,0.000005
1530,0.000004
1540,0.000007
1550,0.000003
1560,0.000003
1570,0.000003
1580,0.000003
1590,0.000004
1600,0.000003
1610,0.000003
1620,0.000003
1630,0.000003
1640,0.000003
1650,0.000003
1660,0.000003
1670,0.000002
1680,0.000003
1690,0.000004
1700,0.000004
1710,0.000004
1720,0.000004
1730,0.000004
1740,0.000005
1750,0.000007
1760,0.000005
1770,0.000004
1780,0.000004
1790,0.000003
1800,0.000003
1810,0.000003
1820,0.000003
1830,0.000003
1840,0.000003
1850,0.000002
1860,0.000003
1870,0.000004
1880,0.000004
1890,0.000004
1900,0.000003
1910,0.000002
1920,0.000002
1930,0.000004
1940,0.000003
1950,0.000003
1960,0.000004
1970,0.000004
1980,0.000009
1990,0.000003
2000,0.000005
2010,0.000004
2020,0.000003
2030,0.000002
2040,0.000004
2050,0.000003
2060,0.000004
2070,0.000003
2080,0.000003
2090,0.000003
2100,0.000003
2110,0.000003
2120,0.000003
2130,0.000003
2140,0.000003
2150,0.000003
2160,0.000003
2170,0.000003
2180,0.000003
2190,0.000004
2200,0.000003
2210,0.000003
2220,0.000005
2230,0.000004
2240,0.000003
2250,0.000004
2260,0.000005
2270,0.000003
2280,0.000004
2290,0.000004
2300,0.000005
2310,0.000003
2320,0.000003
2330,0.000003
2340,0.000003
2350,0.000003
2360,0.000002
2370,0.000003
2380,0.000003
2390,0.000003
2400,0.000003
2410,0.000003
2420,0.000003
2430,0.000003
2440,0.000003
2450,0.000003
2460,0.000003
2470,0.000002
2480,0.000003
2490,0.000004
2500,0.000003
2510,0.000003
2520,0.000002
2530,0.000003
2540,0.000004
2550,0.000003
2560,0.000005
2570,0.000003
2580,0.000004
2590,0.000004
2600,0.000005
2610,0.000004
2620,0.000004
2630,0.000004
2640,0.000003
2650,0.000003
2660,0.000003
2670,0.000003
2680,0.000004
2690,0.000003
2700,0.000003
2710,0.000004
2720,0.000004
2730,0.000003
2740,0.000004
2750,0.000003
2760,0.000004
2770,0.000003
2780,0.000003
2790,0.000003
2800,0.000004
2810,0.000003
2820,0.000003
2830,0.000003
2840,0.000003
2850,0.000004
2860,0.000003
2870,0.000003
2880,0.000003
2890,0.000003
2900,0.000003
2910,0.000004
2920,0.000004
2930,0.000003
2940,0.000003
2950,0.000004
2960,0.000004
2970,0.000004
2980,0.000005
2990,0.000005
3000,0.000006
3010,0.000004
3020,0.000004
3030,0.000005
3040,0.000005
3050,0.000003
3060,0.000004
3070,0.000004
3080,0.000003
3090,0.000005
3100,0.000005
3110,0.000005
3120,0.000003
3130,0.000006
3140,0.000004
3150,0.000004
3160,0.000003
3170,0.000004
3180,0.000004
3190,0.000003
3200,0.000003
3210,0.000004
3220,0.000004
3230,0.000006
3240,0.000005
3250,0.000004
3260,0.000005
3270,0.000005
