Nombre de nœuds,Temps moyen (secondes)
10,0.000002
20,0.000002
30,0.000003
40,0.000002
50,0.000002
60,0.000003
70,0.000004
80,0.000004
90,0.000004
100,0.000004
110,0.000005
120,0.000004
130,0.000003
140,0.000004
150,0.000005
160,0.000005
170,0.000004
180,0.000004
190,0.000004
200,0.000005
210,0.000004
220,0.000005
230,0.000004
240,0.000003
250,0.000003
260,0.000005
270,0.000005
280,0.000004
290,0.000004
300,0.000004
310,0.000004
320,0.000004
330,0.000005
340,0.000005
350,0.000005
360,0.000005
370,0.000004
380,0.000003
390,0.000003
400,0.000004
410,0.000003
420,0.000003
430,0.000003
440,0.000003
450,0.000004
460,0.000003
470,0.000003
480,0.000003
490,0.000003
500,0.000003
510,0.000003
520,0.000003
530,0.000003
540,0.000003
550,0.000003
560,0.000003
570,0.000003
580,0.000005
590,0.000005
600,0.000005
610,0.000006
620,0.000003
630,0.000003
640,0.000005
650,0.000005
660,0.000004
670,0.000005
680,0.000004
690,0.000004
700,0.000003
710,0.000003
720,0.000003
730,0.000003
740,0.000003
750,0.000004
760,0.000003
770,0.000003
780,0.000004
790,0.000003
800,0.000003
810,0.000012
820,0.000005
830,0.000006
840,0.000007
850,0.000005
860,0.000005
870,0.000005
880,0.000005
890,0.000005
900,0.000005
910,0.000005
920,0.000005
930,0.000005
940,0.000005
950,0.000005
960,0.000005
970,0.000005
980,0.000005
990,0.000005
1000,0.000005
1010,0.000005
1020,0.000005
1030,0.000009
1040,0.000005
1050,0.000006
1060,0.000005
1070,0.000003
1080,0.000005
1090,0.000005
1100,0.000004
1110,0.000003
1120,0.000003
1130,0.000005
1140,0.000005
1150,0.000005
1160,0.000006
1170,0.000005
1180,0.000006
1190,0.000007
1200,0.000005
1210,0.000005
1220,0.000005
1230,0.000006
1240,0.000005
1250,0.000005
1260,0.000006
1270,0.000007
1280,0.000005
1290,0.000006
1300,0.000005
1310,0.000009
1320,0.000005
1330,0.000006
1340,0.000005
1350,0.000005
1360,0.000006
1370,0.000005
1380,0.000004
1390,0.000007
1400,0.000006
1410,0.000006
1420,0.000006
1430,0.000005
1440,0.000006
1450,0.000006
1460,0.000004
1470,0.000005
1480,0.000004
1490,0.000005
1500,0.000005
1510,0.000003
1520,0.000003
1530,0.000003
1540,0.000003
1550,0.000003
1560,0.000003
1570,0.000004
1580,0.000003
1590,0.000003
1600,0.000003
1610,0.000005
1620,0.000005
1630,0.000005
1640,0.000005
1650,0.000005
1660,0.000005
1670,0.000003
1680,0.000003
1690,0.000003
1700,0.000005
1710,0.000003
1720,0.000003
1730,0.000003
1740,0.000004
1750,0.000004
1760,0.000005
1770,0.000005
1780,0.000008
1790,0.000003
1800,0.000007
1810,0.000004
1820,0.000003
1830,0.000003
1840,0.000003
1850,0.000003
1860,0.000003
1870,0.000004
1880,0.000003
1890,0.000003
1900,0.000003
1910,0.000003
1920,0.000004
1930,0.000004
1940,0.000004
1950,0.000003
1960,0.000003
1970,0.000003
1980,0.000005
1990,0.000004
2000,0.000005
2010,0.000003
2020,0.000003
2030,0.000006
2040,0.000005
2050,0.000005
2060,0.000004
2070,0.000004
2080,0.000003
2090,0.000006
2100,0.000005
2110,0.000006
2120,0.000004
2130,0.000004
2140,0.000005
2150,0.000004
2160,0.000003
2170,0.000004
2180,0.000003
2190,0.000003
2200,0.000004
2210,0.000003
2220,0.000003
2230,0.000003
2240,0.000004
2250,0.000005
2260,0.000003
2270,0.000003
2280,0.000003
2290,0.000003
2300,0.000003
2310,0.000003
2320,0.000004
2330,0.000003
2340,0.000005
2350,0.000007
2360,0.000008
2370,0.000005
2380,0.000008
2390,0.000005
2400,0.000004
2410,0.000004
2420,0.000004
2430,0.000005
2440,0.000005
2450,0.000005
2460,0.000005
2470,0.000005
2480,0.000005
2490,0.000004
2500,0.000005
2510,0.000003
2520,0.000005
2530,0.000004
2540,0.000003
2550,0.000005
2560,0.000005
2570,0.000005
2580,0.000004
2590,0.000004
2600,0.000005
2610,0.000003
2620,0.000004
2630,0.000004
2640,0.000003
2650,0.000005
2660,0.000010
2670,0.000006
2680,0.000005
2690,0.000005
2700,0.000005
2710,0.000005
2720,0.000006
2730,0.000004
2740,0.000004
2750,0.000004
2760,0.000004
2770,0.000003
2780,0.000003
2790,0.000003
2800,0.000004
2810,0.000003
2820,0.000004
2830,0.000003
2840,0.000004
2850,0.000004
2860,0.000003
2870,0.000003
2880,0.000004
2890,0.000005
2900,0.000003
2910,0.000003
2920,0.000003
2930,0.000004
2940,0.000003
2950,0.000004
2960,0.000005
2970,0.000005
2980,0.000005
2990,0.000005
3000,0.000004
3010,0.000005
3020,0.000004
3030,0.000004
3040,0.000003
3050,0.000005
3060,0.000004
3070,0.000005
3080,0.000005
3090,0.000004
3100,0.000006
3110,0.000004
3120,0.000006
3130,0.000005
3140,0.000005
3150,0.000004
3160,0.000005
3170,0.000004
3180,0.000005
3190,0.000004
3200,0.000006
3210,0.000007
3220,0.000004
3230,0.000005
3240,0.000011
3250,0.000006
3260,0.000003
3270,0.000004
