Nombre de nœuds,Temps de recherche (secondes)
10,0.000007
11,0.000005
12,0.000002
13,0.000003
14,0.000010
15,0.000002
16,0.000003
17,0.000012
18,0.000002
19,0.000003
20,0.000004
21,0.000001
22,0.000001
23,0.000003
24,0.000001
25,0.000007
26,0.000002
27,0.000002
28,0.000003
29,0.000003
30,0.000003
31,0.000001
32,0.000013
33,0.000002
34,0.000003
35,0.000003
36,0.000002
37,0.000003
38,0.000004
39,0.000003
40,0.000003
41,0.000002
42,0.000002
43,0.000002
44,0.000003
45,0.000001
46,0.000003
47,0.000002
48,0.000002
49,0.000003
50,0.000003
51,0.000002
52,0.000004
53,0.000003
54,0.000002
55,0.000004
56,0.000003
57,0.000004
58,0.000002
59,0.000002
60,0.000002
61,0.000003
62,0.000002
63,0.000003
64,0.000003
65,0.000002
66,0.000003
67,0.000003
68,0.000002
69,0.000002
70,0.000003
71,0.000001
72,0.000004
73,0.000002
74,0.000004
75,0.000003
76,0.000003
77,0.000011
78,0.000002
79,0.000003
80,0.000002
81,0.000002
82,0.000001
83,0.000002
84,0.000002
85,0.000002
86,0.000002
87,0.000003
88,0.000001
89,0.000003
90,0.000002
91,0.000003
92,0.000003
93,0.000003
94,0.000003
95,0.000003
96,0.000003
97,0.000003
98,0.000003
99,0.000003
100,0.000002
101,0.000003
102,0.000002
103,0.000002
104,0.000003
105,0.000002
106,0.000003
107,0.000002
108,0.000002
109,0.000002
110,0.000002
111,0.000003
112,0.000001
113,0.000002
114,0.000002
115,0.000003
116,0.000003
117,0.000003
118,0.000003
119,0.000003
120,0.000003
121,0.000002
122,0.000002
123,0.000003
124,0.000003
125,0.000002
126,0.000002
127,0.000004
128,0.000002
129,0.000002
130,0.000001
131,0.000002
132,0.000003
133,0.000001
134,0.000001
135,0.000002
136,0.000002
137,0.000002
138,0.000003
139,0.000003
140,0.000002
141,0.000003
142,0.000002
143,0.000003
144,0.000002
145,0.000006
146,0.000003
147,0.000001
148,0.000001
149,0.000001
150,0.000001
151,0.000001
152,0.000003
153,0.000003
154,0.000001
155,0.000003
156,0.000003
157,0.000002
158,0.000001
159,0.000001
160,0.000003
161,0.000002
162,0.000001
163,0.000002
164,0.000002
165,0.000001
166,0.000001
167,0.000003
168,0.000002
169,0.000002
170,0.000001
171,0.000003
172,0.000003
173,0.000002
174,0.000003
175,0.000002
176,0.000010
177,0.000004
178,0.000004
179,0.000002
180,0.000002
181,0.000004
182,0.000002
183,0.000003
184,0.000002
185,0.000003
186,0.000003
187,0.000003
188,0.000002
189,0.000001
190,0.000001
191,0.000001
192,0.000002
193,0.000002
194,0.000002
195,0.000002
196,0.000002
197,0.000002
198,0.000002
199,0.000001
200,0.000003
201,0.000002
202,0.000002
203,0.000003
204,0.000002
205,0.000003
206,0.000002
207,0.000002
208,0.000001
209,0.000002
210,0.000001
211,0.000002
212,0.000002
213,0.000001
214,0.000001
215,0.000002
216,0.000002
217,0.000003
218,0.000002
219,0.000003
220,0.000003
221,0.000003
222,0.000002
223,0.000002
224,0.000001
225,0.000001
226,0.000001
227,0.000004
228,0.000003
229,0.000003
230,0.000002
231,0.000001
232,0.000004
233,0.000002
234,0.000011
235,0.000002
236,0.000002
237,0.000003
238,0.000001
239,0.000001
240,0.000001
241,0.000002
242,0.000002
243,0.000001
244,0.000001
245,0.000001
246,0.000002
247,0.000003
248,0.000003
249,0.000002
250,0.000003
251,0.000001
252,0.000001
253,0.000002
254,0.000003
255,0.000002
256,0.000011
257,0.000001
258,0.000001
259,0.000001
260,0.000002
261,0.000001
262,0.000003
263,0.000003
264,0.000002
265,0.000002
266,0.000003
267,0.000003
268,0.000002
269,0.000003
270,0.000002
271,0.000001
272,0.000001
273,0.000002
274,0.000002
275,0.000002
276,0.000003
277,0.000001
278,0.000002
279,0.000003
280,0.000004
281,0.000003
282,0.000003
283,0.000003
284,0.000003
285,0.000003
286,0.000003
287,0.000001
288,0.000003
289,0.000002
290,0.000001
291,0.000002
292,0.000001
293,0.000001
294,0.000001
295,0.000001
296,0.000002
297,0.000002
298,0.000002
299,0.000001
300,0.000002
301,0.000001
302,0.000003
303,0.000003
304,0.000003
305,0.000002
306,0.000004
307,0.000002
308,0.000003
309,0.000002
310,0.000002
311,0.000002
312,0.000003
313,0.000004
314,0.000003
315,0.000001
316,0.000003
317,0.000002
318,0.000003
319,0.000002
320,0.000001
321,0.000002
322,0.000001
323,0.000002
324,0.000002
325,0.000001
326,0.000003
327,0.000002
328,0.000003
329,0.000002
330,0.000003
331,0.000003
332,0.000002
333,0.000003
334,0.000001
335,0.000002
336,0.000001
337,0.000001
338,0.000002
339,0.000003
340,0.000002
341,0.000002
342,0.000001
343,0.000002
344,0.000004
345,0.000002
346,0.000001
347,0.000003
348,0.000002
349,0.000003
350,0.000011
351,0.000003
352,0.000002
353,0.000003
354,0.000004
355,0.000003
356,0.000003
357,0.000002
358,0.000002
359,0.000002
360,0.000002
361,0.000002
362,0.000001
363,0.000001
364,0.000001
365,0.000001
366,0.000001
367,0.000004
368,0.000004
369,0.000005
370,0.000003
371,0.000008
372,0.000006
373,0.000003
374,0.000003
375,0.000002
376,0.000003
377,0.000002
378,0.000003
379,0.000004
380,0.000002
381,0.000001
382,0.000002
383,0.000001
384,0.000001
385,0.000001
386,0.000002
387,0.000002
388,0.000002
389,0.000001
390,0.000002
391,0.000002
392,0.000001
393,0.000003
394,0.000004
395,0.000003
396,0.000002
397,0.000002
398,0.000001
399,0.000002
400,0.000002
401,0.000002
402,0.000001
403,0.000002
404,0.000003
405,0.000002
406,0.000002
407,0.000001
408,0.000003
409,0.000001
410,0.000002
411,0.000002
412,0.000001
413,0.000002
414,0.000001
415,0.000001
416,0.000001
417,0.000002
418,0.000002
419,0.000002
420,0.000003
421,0.000003
422,0.000002
423,0.000003
424,0.000003
425,0.000002
426,0.000002
427,0.000002
428,0.000003
429,0.000004
430,0.000003
431,0.000003
432,0.000003
433,0.000002
434,0.000003
435,0.000003
436,0.000003
437,0.000004
438,0.000002
439,0.000003
440,0.000002
441,0.000003
442,0.000002
443,0.000002
444,0.000001
445,0.000002
446,0.000002
447,0.000001
448,0.000001
449,0.000002
450,0.000003
451,0.000003
452,0.000002
453,0.000001
454,0.000002
455,0.000003
456,0.000002
457,0.000004
458,0.000004
459,0.000003
460,0.000002
461,0.000004
462,0.000002
463,0.000004
464,0.000003
465,0.000003
466,0.000002
467,0.000003
468,0.000002
469,0.000002
470,0.000004
471,0.000008
472,0.000004
473,0.000002
474,0.000003
475,0.000013
476,0.000002
477,0.000003
478,0.000002
479,0.000002
480,0.000003
481,0.000003
482,0.000003
483,0.000002
484,0.000003
485,0.000003
486,0.000002
487,0.000002
488,0.000001
489,0.000002
490,0.000003
491,0.000001
492,0.000002
493,0.000003
494,0.000003
495,0.000002
496,0.000003
497,0.000003
498,0.000001
499,0.000002
500,0.000003
501,0.000002
502,0.000001
503,0.000002
504,0.000002
505,0.000001
506,0.000002
507,0.000003
508,0.000004
509,0.000003
510,0.000002
511,0.000002
512,0.000003
513,0.000004
514,0.000003
515,0.000004
516,0.000003
517,0.000004
518,0.000003
519,0.000006
520,0.000004
521,0.000004
522,0.000003
523,0.000003
524,0.000002
525,0.000002
526,0.000002
527,0.000003
528,0.000003
529,0.000002
530,0.000003
531,0.000002
532,0.000003
533,0.000003
534,0.000002
535,0.000001
536,0.000002
537,0.000002
538,0.000004
539,0.000004
540,0.000005
541,0.000005
542,0.000004
543,0.000004
544,0.000004
545,0.000004
546,0.000004
547,0.000007
548,0.000007
549,0.000004
550,0.000006
551,0.000005
552,0.000006
553,0.000003
554,0.000009
555,0.000004
556,0.000014
557,0.000004
558,0.000004
559,0.000018
560,0.000004
561,0.000004
562,0.000005
563,0.000004
564,0.000005
565,0.000004
566,0.000005
567,0.000004
568,0.000004
569,0.000003
570,0.000005
571,0.000006
572,0.000005
573,0.000005
574,0.000004
575,0.000005
576,0.000004
577,0.000004
578,0.000004
579,0.000004
580,0.000005
581,0.000003
582,0.000004
583,0.000004
584,0.000004
585,0.000003
586,0.000003
587,0.000005
588,0.000003
589,0.000005
590,0.000003
591,0.000004
592,0.000003
593,0.000003
594,0.000003
595,0.000006
596,0.000003
597,0.000003
598,0.000003
599,0.000005
600,0.000003
601,0.000003
602,0.000003
603,0.000003
604,0.000002
605,0.000003
606,0.000003
607,0.000004
608,0.000003
609,0.000002
610,0.000002
611,0.000002
612,0.000003
613,0.000001
614,0.000003
615,0.000004
616,0.000004
617,0.000008
618,0.000009
619,0.000011
620,0.000004
621,0.000004
622,0.000004
623,0.000004
624,0.000003
625,0.000004
626,0.000002
627,0.000004
628,0.000004
629,0.000004
630,0.000003
631,0.000004
632,0.000004
633,0.000005
634,0.000004
635,0.000004
636,0.000013
637,0.000005
638,0.000005
639,0.000005
640,0.000005
641,0.000005
642,0.000004
643,0.000004
644,0.000005
645,0.000004
646,0.000007
647,0.000005
648,0.000001
649,0.000003
650,0.000005
651,0.000005
652,0.000004
653,0.000006
654,0.000004
655,0.000013
656,0.000003
657,0.000003
658,0.000003
659,0.000003
660,0.000003
661,0.000002
662,0.000001
663,0.000002
664,0.000002
665,0.000002
666,0.000003
667,0.000005
668,0.000002
669,0.000002
670,0.000002
671,0.000003
672,0.000003
673,0.000003
674,0.000003
675,0.000001
676,0.000004
677,0.000005
678,0.000004
679,0.000005
680,0.000005
681,0.000010
682,0.000005
683,0.000003
684,0.000004
685,0.000003
686,0.000003
687,0.000003
688,0.000003
689,0.000005
690,0.000004
691,0.000004
692,0.000003
693,0.000003
694,0.000005
695,0.000003
696,0.000003
697,0.000002
698,0.000002
699,0.000001
700,0.000003
701,0.000003
702,0.000004
703,0.000004
704,0.000004
705,0.000004
706,0.000003
707,0.000009
708,0.000004
709,0.000004
710,0.000004
711,0.000003
712,0.000005
713,0.000005
714,0.000003
715,0.000004
716,0.000004
717,0.000003
718,0.000003
719,0.000004
720,0.000005
721,0.000004
722,0.000004
723,0.000004
724,0.000004
725,0.000005
726,0.000004
727,0.000004
728,0.000005
729,0.000003
730,0.000011
731,0.000004
732,0.000004
733,0.000003
734,0.000003
735,0.000003
736,0.000004
737,0.000004
738,0.000004
739,0.000004
740,0.000004
741,0.000002
742,0.000003
743,0.000004
744,0.000002
745,0.000002
746,0.000005
747,0.000003
748,0.000004
749,0.000005
750,0.000004
751,0.000004
752,0.000004
753,0.000003
754,0.000004
755,0.000002
756,0.000004
757,0.000003
758,0.000003
759,0.000003
760,0.000004
761,0.000004
762,0.000004
763,0.000003
764,0.000004
765,0.000003
766,0.000010
767,0.000003
768,0.000001
769,0.000004
770,0.000005
771,0.000003
772,0.000004
773,0.000004
774,0.000008
775,0.000004
776,0.000007
777,0.000004
778,0.000003
779,0.000003
780,0.000003
781,0.000003
782,0.000003
783,0.000003
784,0.000003
785,0.000004
786,0.000003
787,0.000003
788,0.000003
789,0.000004
790,0.000003
791,0.000002
792,0.000003
793,0.000003
794,0.000002
795,0.000003
796,0.000002
797,0.000002
798,0.000003
799,0.000004
800,0.000004
801,0.000004
802,0.000004
803,0.000004
804,0.000006
805,0.000006
806,0.000003
807,0.000004
808,0.000004
809,0.000003
810,0.000004
811,0.000004
812,0.000004
813,0.000004
814,0.000006
815,0.000002
816,0.000003
817,0.000002
818,0.000005
819,0.000004
820,0.000004
821,0.000005
822,0.000004
823,0.000003
824,0.000005
825,0.000005
826,0.000003
827,0.000003
828,0.000004
829,0.000005
830,0.000003
831,0.000004
832,0.000004
833,0.000004
834,0.000004
835,0.000004
836,0.000004
837,0.000011
838,0.000005
839,0.000004
840,0.000004
841,0.000005
842,0.000004
843,0.000004
844,0.000002
845,0.000003
846,0.000003
847,0.000001
848,0.000002
849,0.000002
850,0.000003
851,0.000003
852,0.000003
853,0.000002
854,0.000003
855,0.000003
856,0.000002
857,0.000002
858,0.000002
859,0.000002
860,0.000003
861,0.000002
862,0.000003
863,0.000003
864,0.000003
865,0.000003
866,0.000002
867,0.000001
868,0.000002
869,0.000003
870,0.000002
871,0.000004
872,0.000002
873,0.000002
874,0.000002
875,0.000002
876,0.000002
877,0.000003
878,0.000002
879,0.000002
880,0.000005
881,0.000004
882,0.000004
883,0.000003
884,0.000003
885,0.000003
886,0.000003
887,0.000002
888,0.000005
889,0.000004
890,0.000004
891,0.000003
892,0.000003
893,0.000003
894,0.000004
895,0.000006
896,0.000003
897,0.000005
898,0.000002
899,0.000002
900,0.000002
901,0.000003
902,0.000002
903,0.000002
904,0.000002
905,0.000001
906,0.000002
907,0.000002
908,0.000002
909,0.000002
910,0.000003
911,0.000003
912,0.000003
913,0.000003
