Nombre de nœuds,Temps d'insertion (secondes)
10,0.000021
11,0.000022
12,0.000022
13,0.000013
14,0.000020
15,0.000012
16,0.000021
17,0.000021
18,0.000020
19,0.000020
20,0.000021
21,0.000011
22,0.000019
23,0.000027
24,0.000024
25,0.000015
26,0.000027
27,0.000023
28,0.000020
29,0.000019
30,0.000019
31,0.000014
32,0.000026
33,0.000015
34,0.000019
35,0.000014
36,0.000040
37,0.000050
38,0.000019
39,0.000020
40,0.000019
41,0.000010
42,0.000015
43,0.000030
44,0.000024
45,0.000024
46,0.000020
47,0.000021
48,0.000019
49,0.000022
50,0.000018
51,0.000020
52,0.000019
53,0.000020
54,0.000016
55,0.000023
56,0.000017
57,0.000020
58,0.000017
59,0.000019
60,0.000024
61,0.000027
62,0.000021
63,0.000013
64,0.000017
65,0.000021
66,0.000012
67,0.000018
68,0.000022
69,0.000016
70,0.000025
71,0.000015
72,0.000012
73,0.000008
74,0.000013
75,0.000020
76,0.000022
77,0.000017
78,0.000012
79,0.000019
80,0.000016
81,0.000018
82,0.000017
83,0.000023
84,0.000013
85,0.000010
86,0.000009
87,0.000011
88,0.000011
89,0.000018
90,0.000009
91,0.000006
92,0.000018
93,0.000014
94,0.000025
95,0.000016
96,0.000024
97,0.000014
98,0.000012
99,0.000019
100,0.000010
101,0.000023
102,0.000019
103,0.000016
104,0.000015
105,0.000027
106,0.000020
107,0.000019
108,0.000016
109,0.000018
110,0.000020
111,0.000014
112,0.000008
113,0.000009
114,0.000015
115,0.000006
116,0.000013
117,0.000012
118,0.000015
119,0.000015
120,0.000010
121,0.000008
122,0.000005
123,0.000006
124,0.000011
125,0.000005
126,0.000007
127,0.000011
128,0.000022
129,0.000020
130,0.000028
131,0.000012
132,0.000018
133,0.000021
134,0.000018
135,0.000011
136,0.000007
137,0.000011
138,0.000008
139,0.000006
140,0.000006
141,0.000009
142,0.000009
143,0.000008
144,0.000010
145,0.000009
146,0.000009
147,0.000009
148,0.000009
149,0.000010
150,0.000009
151,0.000009
152,0.000010
153,0.000009
154,0.000011
155,0.000010
156,0.000009
157,0.000009
158,0.000009
159,0.000009
160,0.000009
161,0.000008
162,0.000009
163,0.000010
164,0.000009
165,0.000009
166,0.000009
167,0.000008
168,0.000008
169,0.000009
170,0.000009
171,0.000009
172,0.000008
173,0.000020
174,0.000006
175,0.000006
176,0.000005
177,0.000006
178,0.000005
179,0.000005
180,0.000009
181,0.000009
182,0.000009
183,0.000008
184,0.000009
185,0.000010
186,0.000012
187,0.000015
188,0.000009
189,0.000008
190,0.000007
191,0.000008
192,0.000008
193,0.000006
194,0.000007
195,0.000007
196,0.000007
197,0.000008
198,0.000011
199,0.000009
200,0.000009
201,0.000005
202,0.000018
203,0.000013
204,0.000019
205,0.000012
206,0.000013
207,0.000011
208,0.000010
209,0.000005
210,0.000005
211,0.000007
212,0.000009
213,0.000006
214,0.000006
215,0.000008
216,0.000014
217,0.000019
218,0.000018
219,0.000014
220,0.000013
221,0.000008
222,0.000009
223,0.000005
224,0.000007
225,0.000006
226,0.000008
227,0.000007
228,0.000012
229,0.000010
230,0.000018
231,0.000017
232,0.000015
233,0.000021
234,0.000019
235,0.000007
236,0.000016
237,0.000021
238,0.000016
239,0.000014
