Nombre de nœuds,Temps de suppr (secondes)
10,0.000002
11,0.000001
12,0.000003
13,0.000007
14,0.000002
15,0.000003
16,0.000002
17,0.000002
18,0.000002
19,0.000008
20,0.000001
21,0.000002
22,0.000012
23,0.000001
24,0.000002
25,0.000002
26,0.000002
27,0.000002
28,0.000002
29,0.000007
30,0.000003
31,0.000002
32,0.000002
33,0.000004
34,0.000007
35,0.000001
36,0.000002
37,0.000003
38,0.000002
39,0.000003
40,0.000003
41,0.000002
42,0.000006
43,0.000007
44,0.000003
45,0.000001
46,0.000001
47,0.000002
48,0.000002
49,0.000002
50,0.000009
51,0.000010
52,0.000003
53,0.000002
54,0.000003
55,0.000002
56,0.000002
57,0.000002
58,0.000001
59,0.000002
60,0.000003
61,0.000002
62,0.000002
63,0.000003
64,0.000001
65,0.000002
66,0.000004
67,0.000002
68,0.000002
69,0.000004
70,0.000003
71,0.000002
72,0.000003
73,0.000001
74,0.000003
75,0.000002
76,0.000003
77,0.000002
78,0.000001
79,0.000002
80,0.000003
81,0.000002
82,0.000002
83,0.000003
84,0.000009
85,0.000003
86,0.000003
87,0.000002
88,0.000007
89,0.000004
90,0.000003
91,0.000003
92,0.000002
93,0.000003
94,0.000002
95,0.000001
96,0.000003
97,0.000003
98,0.000003
99,0.000012
100,0.000003
101,0.000004
102,0.000002
103,0.000001
104,0.000002
105,0.000004
106,0.000006
107,0.000004
108,0.000004
109,0.000004
110,0.000004
111,0.000005
112,0.000003
113,0.000003
114,0.000002
115,0.000003
116,0.000002
117,0.000003
118,0.000003
119,0.000003
120,0.000002
121,0.000003
122,0.000001
123,0.000009
124,0.000003
125,0.000003
126,0.000001
127,0.000002
128,0.000002
129,0.000002
130,0.000002
131,0.000003
132,0.000002
133,0.000002
134,0.000002
135,0.000001
136,0.000001
137,0.000002
138,0.000003
139,0.000002
140,0.000002
141,0.000003
142,0.000002
143,0.000002
144,0.000002
145,0.000002
146,0.000003
147,0.000003
148,0.000002
149,0.000004
150,0.000004
151,0.000003
152,0.000002
153,0.000003
154,0.000002
155,0.000002
156,0.000002
157,0.000003
158,0.000003
159,0.000002
160,0.000004
161,0.000002
162,0.000004
163,0.000003
164,0.000002
165,0.000003
166,0.000002
167,0.000003
168,0.000003
169,0.000003
170,0.000003
171,0.000004
172,0.000003
173,0.000003
174,0.000003
175,0.000003
176,0.000003
177,0.000003
178,0.000004
179,0.000004
180,0.000002
181,0.000003
182,0.000003
183,0.000002
184,0.000003
185,0.000004
186,0.000004
187,0.000004
188,0.000002
189,0.000009
190,0.000003
191,0.000002
192,0.000002
193,0.000004
194,0.000002
195,0.000003
196,0.000001
197,0.000002
198,0.000003
199,0.000002
200,0.000001
201,0.000002
202,0.000001
203,0.000003
204,0.000002
205,0.000002
206,0.000002
207,0.000003
208,0.000002
209,0.000002
210,0.000001
211,0.000002
212,0.000002
213,0.000002
214,0.000001
215,0.000001
216,0.000002
217,0.000002
218,0.000003
219,0.000004
220,0.000005
221,0.000004
222,0.000004
223,0.000003
224,0.000004
225,0.000003
226,0.000003
227,0.000003
228,0.000002
229,0.000002
230,0.000003
231,0.000003
232,0.000004
233,0.000003
234,0.000004
235,0.000002
236,0.000002
237,0.000003
238,0.000003
239,0.000003
240,0.000003
241,0.000001
242,0.000003
243,0.000003
244,0.000003
245,0.000003
246,0.000002
247,0.000001
248,0.000003
249,0.000011
250,0.000001
251,0.000003
252,0.000003
253,0.000002
254,0.000002
255,0.000002
256,0.000003
257,0.000002
258,0.000003
259,0.000003
260,0.000002
261,0.000002
262,0.000003
263,0.000003
264,0.000004
265,0.000004
266,0.000005
267,0.000017
268,0.000006
269,0.000004
270,0.000008
271,0.000003
272,0.000003
273,0.000003
274,0.000003
275,0.000002
276,0.000002
277,0.000005
278,0.000004
279,0.000002
280,0.000003
281,0.000002
282,0.000003
283,0.000002
284,0.000003
285,0.000003
286,0.000003
287,0.000001
288,0.000002
289,0.000003
290,0.000003
291,0.000003
292,0.000004
293,0.000003
294,0.000002
295,0.000002
296,0.000002
297,0.000001
298,0.000003
299,0.000002
300,0.000001
301,0.000003
302,0.000002
303,0.000002
304,0.000003
305,0.000003
306,0.000004
307,0.000002
308,0.000003
309,0.000002
310,0.000002
311,0.000001
312,0.000002
313,0.000002
314,0.000001
315,0.000004
316,0.000002
317,0.000003
318,0.000003
319,0.000005
320,0.000003
321,0.000002
322,0.000004
323,0.000003
324,0.000004
325,0.000002
326,0.000004
327,0.000004
328,0.000003
329,0.000003
330,0.000002
331,0.000003
332,0.000002
333,0.000001
334,0.000003
335,0.000003
336,0.000002
337,0.000001
338,0.000003
339,0.000003
340,0.000004
341,0.000003
342,0.000003
343,0.000003
344,0.000003
345,0.000003
346,0.000005
347,0.000005
348,0.000005
349,0.000002
350,0.000003
351,0.000002
352,0.000001
353,0.000006
354,0.000004
355,0.000003
356,0.000002
357,0.000004
358,0.000003
359,0.000001
360,0.000002
361,0.000001
362,0.000003
363,0.000002
